index,NUTS3,Typology,itl3name0
0,TLC21,2,Northumberland
1,TLD11,2,West Cumbria
2,TLD12,2,East Cumbria
3,TLE13,2,North and North East Lincolnshire
4,TLE21,2,York
5,TLE22,2,North Yorkshire CC
6,TLF24,2,West Northamptonshire
7,TLF30,2,Lincolnshire
8,TLG12,2,Worcestershire
9,TLG21,2,Telford and Wrekin
10,TLG22,2,Shropshire CC
11,TLH12,2,Cambridgeshire CC
12,TLH14,2,Suffolk
13,TLH34,2,Essex Haven Gateway
14,TLH35,2,West Essex
15,TLJ13,2,Buckinghamshire CC
16,TLJ14,2,Oxfordshire
17,TLJ22,2,East Sussex CC
18,TLJ34,2,Isle of Wight
19,TLJ45,2,Mid Kent
20,TLJ46,2,West Kent
21,TLK13,2,Gloucestershire
22,TLK14,2,Swindon
23,TLK15,2,Wiltshire
24,TLK23,2,Somerset
25,TLK25,2,Dorset
26,TLK30,2,Cornwall and Isles of Scilly
27,TLK43,2,Devon CC
28,TLL13,2,Conwy and Denbighshire
29,TLM50,2,Aberdeen City and Aberdeenshire
30,TLM62,2,"Inverness and Nairn and Moray, Badenoch and Strathspey"
31,TLM77,2,Perth and Kinross and Stirling
32,TLM93,2,East Ayrshire and North Ayrshire mainland
33,TLM94,2,South Ayrshire
34,TLN07,2,"Armagh City, Banbridge and Craigavon"
35,TLN0A,2,Derry City and Strabane
36,TLN0D,2,Antrim and Newtownabbey
37,TLN0E,2,Lisburn and Castlereagh
38,TLN0F,2,Mid and East Antrim
