itl1,itl1name,itl2,itl2name,itl3,itl3name,mca,mcaname
TLC,North East,TLC3,Tees Valley,TLC31,Hartlepool and Stockton-on-Tees,E47000006,Tees Valley
TLC,North East,TLC3,Tees Valley,TLC31,Hartlepool and Stockton-on-Tees,E47000006,Tees Valley
TLC,North East,TLC3,Tees Valley,TLC32,South Teesside,E47000006,Tees Valley
TLC,North East,TLC3,Tees Valley,TLC32,South Teesside,E47000006,Tees Valley
TLC,North East,TLC3,Tees Valley,TLC33,Darlington,E47000006,Tees Valley
TLC,North East,TLC4,"Northumberland, Durham and Tyne & Wear",TLC41,Durham,E47000014,North East
TLC,North East,TLC4,"Northumberland, Durham and Tyne & Wear",TLC42,Northumberland,E47000014,North East
TLC,North East,TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E47000014,North East
TLC,North East,TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E47000014,North East
TLC,North East,TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E47000014,North East
TLC,North East,TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E47000014,North East
TLC,North East,TLC4,"Northumberland, Durham and Tyne & Wear",TLC44,Sunderland,E47000014,North East
TLD,North West,TLD1,Cumbria,TLD13,Cumberland,,
TLD,North West,TLD1,Cumbria,TLD14,Westmorland and Furness,,
TLD,North West,TLD3,Greater Manchester,TLD33,Manchester,E47000001,Greater Manchester
TLD,North West,TLD3,Greater Manchester,TLD34,Greater Manchester South West,E47000001,Greater Manchester
TLD,North West,TLD3,Greater Manchester,TLD34,Greater Manchester South West,E47000001,Greater Manchester
TLD,North West,TLD3,Greater Manchester,TLD35,Greater Manchester South East,E47000001,Greater Manchester
TLD,North West,TLD3,Greater Manchester,TLD35,Greater Manchester South East,E47000001,Greater Manchester
TLD,North West,TLD3,Greater Manchester,TLD36,Greater Manchester North West,E47000001,Greater Manchester
TLD,North West,TLD3,Greater Manchester,TLD36,Greater Manchester North West,E47000001,Greater Manchester
TLD,North West,TLD3,Greater Manchester,TLD37,Greater Manchester North East,E47000001,Greater Manchester
TLD,North West,TLD3,Greater Manchester,TLD37,Greater Manchester North East,E47000001,Greater Manchester
TLD,North West,TLD3,Greater Manchester,TLD37,Greater Manchester North East,E47000001,Greater Manchester
TLD,North West,TLD4,Lancashire,TLD41,Blackburn with Darwen,,
TLD,North West,TLD4,Lancashire,TLD42,Blackpool,,
TLD,North West,TLD4,Lancashire,TLD44,Lancaster and Wyre,,
TLD,North West,TLD4,Lancashire,TLD44,Lancaster and Wyre,,
TLD,North West,TLD4,Lancashire,TLD45,Mid Lancashire,,
TLD,North West,TLD4,Lancashire,TLD45,Mid Lancashire,,
TLD,North West,TLD4,Lancashire,TLD45,Mid Lancashire,,
TLD,North West,TLD4,Lancashire,TLD45,Mid Lancashire,,
TLD,North West,TLD4,Lancashire,TLD46,East Lancashire,,
TLD,North West,TLD4,Lancashire,TLD46,East Lancashire,,
TLD,North West,TLD4,Lancashire,TLD46,East Lancashire,,
