level,code,name,year,GVA per Hour,Change in GVA per hour,Population
ITL1,TLC,North East,2008,24.75,86.76,2569312.0
ITL1,TLC,North East,2009,25.3,84.85,2575441.0
ITL1,TLC,North East,2010,25.95,87.58,2586868.0
ITL1,TLC,North East,2011,26.58,90.16,2596441.0
ITL1,TLC,North East,2012,27.12,91.96,2598972.0
ITL1,TLC,North East,2013,27.54,90.14,2603299.0
ITL1,TLC,North East,2014,28.0,90.77,2610482.0
ITL1,TLC,North East,2015,28.55,93.25,2611804.0
ITL1,TLC,North East,2016,29.1,93.74,2618253.0
ITL1,TLC,North East,2017,29.66,94.47,2623787.0
ITL1,TLC,North East,2018,30.4,93.43,2629393.0
ITL1,TLC,North East,2019,31.33,96.53,2636676.0
ITL1,TLC,North East,2020,32.47,96.74,2637426.0
ITL1,TLC,North East,2021,33.73,96.01,2647493.0
ITL1,TLC,North East,2022,35.01,100.0,2682069.0
ITL1,TLC,North East,2023,35.82,98.76,2711380.0
ITL1,TLD,North West,2008,26.57,90.6,6958547.0
ITL1,TLD,North West,2009,27.04,88.66,6986156.0
ITL1,TLD,North West,2010,27.43,89.99,7019921.0
ITL1,TLD,North West,2011,27.82,90.34,7055961.0
ITL1,TLD,North West,2012,28.19,90.71,7079344.0
ITL1,TLD,North West,2013,28.61,90.97,7105146.0
ITL1,TLD,North West,2014,29.06,89.52,7141096.0
ITL1,TLD,North West,2015,29.74,92.09,7182651.0
ITL1,TLD,North West,2016,30.47,92.3,7234141.0
ITL1,TLD,North West,2017,31.18,94.29,7275765.0
ITL1,TLD,North West,2018,32.05,93.45,7316116.0
ITL1,TLD,North West,2019,33.13,91.88,7363267.0
ITL1,TLD,North West,2020,34.75,97.15,7380605.0
ITL1,TLD,North West,2021,36.55,97.63,7424092.0
ITL1,TLD,North West,2022,38.29,100.0,7515717.0
ITL1,TLD,North West,2023,39.31,100.95,7600126.0
ITL1,TLE,Yorkshire and The Humber,2008,25.54,93.69,5198675.0
ITL1,TLE,Yorkshire and The Humber,2009,25.78,89.35,5223344.0
ITL1,TLE,Yorkshire and The Humber,2010,25.92,89.89,5254788.0
ITL1,TLE,Yorkshire and The Humber,2011,26.09,89.49,5288212.0
ITL1,TLE,Yorkshire and The Humber,2012,26.42,90.28,5313486.0
ITL1,TLE,Yorkshire and The Humber,2013,26.85,90.49,5335092.0
ITL1,TLE,Yorkshire and The Humber,2014,27.31,89.92,5356428.0
ITL1,TLE,Yorkshire and The Humber,2015,27.9,92.3,5377362.0
ITL1,TLE,Yorkshire and The Humber,2016,28.45,91.5,5408058.0
ITL1,TLE,Yorkshire and The Humber,2017,29.13,93.88,5427784.0
ITL1,TLE,Yorkshire and The Humber,2018,29.96,91.99,5443883.0
ITL1,TLE,Yorkshire and The Humber,2019,31.14,93.72,5464651.0
ITL1,TLE,Yorkshire and The Humber,2020,32.64,95.49,5468487.0
ITL1,TLE,Yorkshire and The Humber,2021,34.37,98.49,5482455.0
ITL1,TLE,Yorkshire and The Humber,2022,35.9,100.0,5538213.0
ITL1,TLE,Yorkshire and The Humber,2023,36.82,99.45,5594126.0
ITL1,TLG,West Midlands,2008,24.46,92.48,5496240.0
ITL1,TLG,West Midlands,2009,25.02,88.95,5528007.0
ITL1,TLG,West Midlands,2010,25.6,92.17,5565866.0
ITL1,TLG,West Midlands,2011,26.14,95.22,5608667.0
ITL1,TLG,West Midlands,2012,26.66,93.47,5640325.0
ITL1,TLG,West Midlands,2013,27.16,93.8,5676945.0
ITL1,TLG,West Midlands,2014,27.71,95.28,5716882.0
ITL1,TLG,West Midlands,2015,28.38,94.82,5756287.0
ITL1,TLG,West Midlands,2016,29.21,96.25,5812248.0
ITL1,TLG,West Midlands,2017,30.09,98.88,5855052.0
ITL1,TLG,West Midlands,2018,31.08,99.33,5889328.0
ITL1,TLG,West Midlands,2019,32.02,97.99,5920977.0
ITL1,TLG,West Midlands,2020,33.11,99.34,5931924.0
ITL1,TLG,West Midlands,2021,34.27,100.86,5956226.0
ITL1,TLG,West Midlands,2022,35.36,100.0,6017026.0
ITL1,TLG,West Midlands,2023,36.02,98.47,6085687.0
ITL1,TLH,East,2008,27.75,93.08,5708350.0
ITL1,TLH,East,2009,28.14,90.81,5751443.0
ITL1,TLH,East,2010,28.36,92.75,5807402.0
ITL1,TLH,East,2011,28.51,91.96,5862418.0
ITL1,TLH,East,2012,28.81,90.91,5915033.0
ITL1,TLH,East,2013,29.33,91.42,5970484.0
ITL1,TLH,East,2014,29.98,93.36,6039521.0
ITL1,TLH,East,2015,30.71,93.69,6098262.0
ITL1,TLH,East,2016,31.42,92.73,6161075.0
ITL1,TLH,East,2017,32.23,95.65,6202843.0
ITL1,TLH,East,2018,33.2,94.73,6237376.0
ITL1,TLH,East,2019,34.36,95.4,6274179.0
ITL1,TLH,East,2020,35.75,97.02,6297779.0
ITL1,TLH,East,2021,37.35,99.12,6349646.0
ITL1,TLH,East,2022,38.79,100.0,6401418.0
ITL1,TLH,East,2023,39.69,100.06,6468665.0
ITL1,TLJ,South East,2008,31.16,89.31,8426399.0
ITL1,TLJ,South East,2009,31.91,88.52,8490922.0
ITL1,TLJ,South East,2010,32.48,92.61,8577771.0
ITL1,TLJ,South East,2011,32.86,92.12,8652784.0
ITL1,TLJ,South East,2012,33.25,91.19,8731840.0
ITL1,TLJ,South East,2013,33.83,92.18,8809382.0
ITL1,TLJ,South East,2014,34.39,92.16,8893930.0
ITL1,TLJ,South East,2015,35.09,94.61,8969638.0
ITL1,TLJ,South East,2016,35.83,90.82,9053011.0
ITL1,TLJ,South East,2017,36.94,94.69,9105076.0
ITL1,TLJ,South East,2018,38.58,97.58,9150245.0
ITL1,TLJ,South East,2019,40.3,96.72,9193770.0
ITL1,TLJ,South East,2020,42.08,104.27,9225273.0
ITL1,TLJ,South East,2021,43.43,101.45,9295829.0
ITL1,TLJ,South East,2022,44.59,100.0,9387286.0
