index,NUTS3,Typology,itl3name0
0,TLG11,3,"Herefordshire, County of"
1,TLH16,3,North and West Norfolk
2,TLH17,3,Breckland and South Norfolk
3,TLL11,3,Isle of Anglesey
4,TLL12,3,Gwynedd
5,TLL14,3,South West Wales
6,TLL24,3,Powys
7,TLM61,3,Caithness and Sutherland and Ross and Cromarty
8,TLM63,3,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute"
9,TLM64,3,Na h-Eileanan Siar
10,TLM65,3,Orkney Islands
11,TLM66,3,Shetland Islands
12,TLM91,3,Scottish Borders
13,TLM92,3,Dumfries and Galloway
14,TLN08,3,"Newry, Mourne and Down"
15,TLN0B,3,Mid Ulster
16,TLN0C,3,Causeway Coast and Glens
17,TLN0G,3,Fermanagh and Omagh
